"","num","RA","Dec"
"5276",5276,264.401200642116,-3.25539307739275
"5277",5277,264.401163736799,-3.24137651496992
"5278",5278,264.40118258933,-3.25036113465913
"5279",5279,264.401128502758,-3.23016443835266
"5280",5280,264.401087491715,-3.21440567484756
"5281",5281,264.401175061454,-3.26853069006936
"5282",5282,264.401088650418,-3.2373475615975
"5283",5283,264.401090765964,-3.2402387341221
"5284",5284,264.401139941835,-3.26262370084509
"5285",5285,264.401112401525,-3.25312073306507
"5286",5286,264.401077964918,-3.24336159841781
"5287",5287,264.401030749949,-3.2274421604262
"5288",5288,264.401111870717,-3.25966215407728
"5289",5289,264.400979433435,-3.2160028015827
"5290",5290,264.401040237813,-3.24006823412904
"5291",5291,264.401045643022,-3.24753997755859
"5292",5292,264.400989837834,-3.22635924881614
"5293",5293,264.401028924246,-3.24298896424451
"5294",5294,264.401011223979,-3.23883887594993
"5295",5295,264.401116374617,-3.28124525131214
"5296",5296,264.401016352869,-3.2429139994913
"5297",5297,264.40097311606,-3.2275484692239
"5298",5298,264.401018494392,-3.25708183523098
"5299",5299,264.400940570426,-3.23290979887414
"5300",5300,264.401037894819,-3.274260267197
"5301",5301,264.4010383036,-3.27867213915592
"5302",5302,264.400947809773,-3.24417129456015
"5303",5303,264.400994709724,-3.26689401898981
"5304",5304,264.40095131871,-3.25278186611563
"5305",5305,264.400922939476,-3.24540198458522
"5306",5306,264.400917733949,-3.24480427967069
"5307",5307,264.401154487427,-3.3385596603197
"5308",5308,264.400912119826,-3.24373834801612
"5309",5309,264.400980126505,-3.27676825070725
"5310",5310,264.401106727539,-3.32992212232748
"5311",5311,264.400873071742,-3.24400340695535
"5312",5312,264.4008751035,-3.24506388441342
"5313",5313,264.400734949009,-3.1983246114145
"5314",5314,264.400877043357,-3.25849506377707
"5315",5315,264.400767131926,-3.21916863218946
"5316",5316,264.4008307749,-3.2475058702741
"5317",5317,264.400757541918,-3.21903950367361
"5318",5318,264.40082336139,-3.24525130597491
"5319",5319,264.400796802101,-3.23634916609847
"5320",5320,264.400780242655,-3.23137861479416
"5321",5321,264.400814159564,-3.24579922778608
"5322",5322,264.400779778226,-3.23457020748376
"5323",5323,264.400833841621,-3.25813712211064
"5324",5324,264.400730572855,-3.21883263153391
"5325",5325,264.400788972461,-3.24611886575216
"5326",5326,264.400864290541,-3.27891105855815
"5327",5327,264.400755635442,-3.23626333574799
"5328",5328,264.400831789719,-3.26675460724079
"5329",5329,264.400777038244,-3.24590092521992
"5330",5330,264.400786611954,-3.24979361852996
"5331",5331,264.400796059825,-3.25604764248726
"5332",5332,264.400755285531,-3.24055419696609
"5333",5333,264.40071212551,-3.2265765367727
"5334",5334,264.400773986557,-3.2553539249498
"5335",5335,264.40074450271,-3.24675019970979
"5336",5336,264.400713494834,-3.23833680860537
"5337",5337,264.400830557892,-3.28704980082949
"5338",5338,264.400712794405,-3.24235890134206
"5339",5339,264.400654411961,-3.22011980553632
"5340",5340,264.400914566356,-3.32702420094137
"5341",5341,264.400935873091,-3.33657986911345
"5342",5342,264.400678791147,-3.23614526421561
"5343",5343,264.400685586884,-3.2452160313194
"5344",5344,264.40082452279,-3.3007674659776
"5345",5345,264.400645999567,-3.23290414366504
"5346",5346,264.400729555239,-3.26665541890346
"5347",5347,264.400659707394,-3.24157899309325
"5348",5348,264.400645170278,-3.23656798416154
"5349",5349,264.400675603008,-3.25536526175769
"5350",5350,264.401111353107,-3.4273830151227
"5351",5351,264.400675218983,-3.2560465507703
"5352",5352,264.400645822501,-3.24725741148066
"5353",5353,264.400630636,-3.24216785010124
"5354",5354,264.40064591534,-3.25251180247512
"5355",5355,264.400619214721,-3.24206580072956
"5356",5356,264.400607931786,-3.23898900136061
"5357",5357,264.400595711748,-3.2366437461021
"5358",5358,264.400564114526,-3.22514829128327
"5359",5359,264.400604821016,-3.24132024960952
"5360",5360,264.400655321233,-3.26826495843005
"5361",5361,264.400581084034,-3.23966488188006
"5362",5362,264.400626666362,-3.25924014382549
"5363",5363,264.400572914119,-3.24114547527038
"5364",5364,264.400616664389,-3.26267678854045
"5365",5365,264.400536709746,-3.23191775490611
"5366",5366,264.400513455843,-3.22462110346486
"5367",5367,264.400641168341,-3.27493532874442
"5368",5368,264.400533236099,-3.23559430526978
"5369",5369,264.400583643147,-3.25737353588706
"5370",5370,264.400641337519,-3.28333174159098
"5371",5371,264.400528970591,-3.23974911659434
"5372",5372,264.400301495641,-3.15412592004221
"5373",5373,264.400556283451,-3.25534644310216
"5374",5374,264.400527653994,-3.25102478278931
"5375",5375,264.400472746306,-3.23133521157158
"5376",5376,264.400449988863,-3.22629402895879
"5377",5377,264.400478366975,-3.2380583683475
"5378",5378,264.400491444243,-3.24911649710475
"5379",5379,264.40043550913,-3.22818792915421
"5380",5380,264.400518320372,-3.26217677142877
"5381",5381,264.400507314824,-3.26640201529875
"5382",5382,264.400404884392,-3.22917515496277
"5383",5383,264.40050343708,-3.26961212728269
"5384",5384,264.400308908175,-3.19404563627146
"5385",5385,264.400423843783,-3.2398262138971
"5386",5386,264.400419238007,-3.24253353663866
"5387",5387,264.400428577264,-3.24716691343491
"5388",5388,264.40031314717,-3.20220133758509
"5389",5389,264.400653237273,-3.3370206866652
"5390",5390,264.400404200518,-3.24201664262721
"5391",5391,264.40038285926,-3.23569076747892
"5392",5392,264.400361012524,-3.23223568702534
"5393",5393,264.400408061705,-3.25353187018899
"5394",5394,264.40035043548,-3.23101754803571
"5395",5395,264.400310681585,-3.21653488095723
"5396",5396,264.400312165287,-3.21764249824829
"5397",5397,264.400037867801,-3.11049317840644
"5398",5398,264.400339368176,-3.23092073487247
"5399",5399,264.400363556452,-3.24086508599222
"5400",5400,264.400408209019,-3.25977154848155
"5401",5401,264.400412997696,-3.26498504095359
"5402",5402,264.400399209385,-3.26017962390001
"5403",5403,264.400302779291,-3.22614400312226
"5404",5404,264.400317772189,-3.23229828304464
"5405",5405,264.400405424915,-3.26696271789052
"5406",5406,264.400727858776,-3.3947892406538
"5407",5407,264.400392242664,-3.26419380545653
"5408",5408,264.400348758925,-3.24794107481842
"5409",5409,264.400340240618,-3.24590759203198
"5410",5410,264.400352899303,-3.25175990449449
"5411",5411,264.400399331546,-3.27066445100905
"5412",5412,264.400325131881,-3.24282032645393
"5413",5413,264.400253135936,-3.22127882110935
"5414",5414,264.400306493574,-3.24474744532438
"5415",5415,264.400320250067,-3.25225962550502
