## Cluster   RGC      RSun  DELTAR  [Fe/H]     MV   E(B-V)  M_GC  Delta M  M/L  Delta M/L  Age     Mini    Error   Ltime     Error   chi^2  rlhp    rm    trh    NV  alpha_s   vesc   v0esc   sig0    rmin    rmax      l       b
##  (1)      (3)       (4)   (5)      (6)     (7)    (8)     (9)   (10)   (11)    (12)     (13)    (14)     (15)    (16)      (17)   (18)   (19)   (20)   (21)  (22)  (23)     (24)   (25)    (26)    (27)    (28)     (29)   (30)
 NGC 6341    10.04    8.50    0.07   -2.31   -8.20   0.02   5.44   3.68   1.68   0.03    13.00     5.98     3.92    13.95     0.25   1.25   2.03   3.59   9.10  7943  -0.91  36.441  87.543    9.10    1.25   10.62   68.34   34.86
 NGC 6342     1.64    8.01    0.23   -0.55   -6.08   0.46   4.58   3.00   1.62   0.04    12.50     5.99     4.83     0.96     0.08   0.98   1.48   1.85   8.08  1726   0.79  18.411  28.211    4.64    0.84    1.66    4.90    9.73
 NGC 6352     3.79    5.54    0.07   -0.64   -6.34   0.22   4.78   3.33   2.05   0.07    11.80     5.49     3.45     6.42     0.09   0.96   3.23   4.80   8.98   468  -0.32  13.212  20.808    3.38    3.09    3.94  341.42   -7.17
 NGC 6355     0.83    8.65    0.22   -1.37   -7.16   0.81   5.00   3.41   1.59   0.04    13.20     6.11     5.24     2.18     0.33   0.77   2.36   3.34   8.79  1836  -0.13  21.638  36.265    5.61    0.79    1.50  359.59    5.43
 NGC 6356     7.57   15.66    0.92   -0.40   -8.52   0.28   5.70   4.85   2.27   0.32    13.00     6.05     4.88    56.15    15.56   1.81   3.85   6.02   9.58   152 -99.00  33.895  69.912    8.65    3.62    8.99    6.72   10.22
 NGC 6362     5.34    7.65    0.07   -0.99   -7.25   0.09   5.07   3.48   1.73   0.04    12.70     5.65     3.33    11.48     0.11   0.79   5.13   7.24   9.39  2907  -0.52  13.148  19.526    3.72    2.64    5.24  325.55  -17.57
 NGC 6366     5.54    3.44    0.05   -0.59   -6.04   0.71   4.58   3.19   1.70   0.07    11.70     5.44     3.58     3.85     0.07   0.66   3.89   5.54   9.00  1402  -0.36   9.039  13.969    2.43    2.24    5.70   18.41   16.04
 NGC 6380     1.98    9.61    0.30   -0.75   -7.84   1.17   5.53   3.68   2.92   0.04    12.90     6.56     5.80     2.78     0.56   0.48   3.14   4.42   9.24  5826  -0.26  31.782  64.101    8.31    0.28    2.11  350.18   -3.42
 NGC 6388     3.80   11.17    0.16   -0.55   -9.57   0.37   6.05   4.00   1.96   0.02    10.90     6.42     4.15    34.93     0.78   0.25   2.56   3.94   9.40 12388  -0.48  60.150 152.440   17.69    1.15    4.05  345.56   -6.74
 NGC 6397     6.33    2.48    0.02   -2.02   -7.08   0.18   4.92   3.13   1.43   0.02    13.30     5.58     3.04     9.18     0.04   1.78   2.17   3.16   8.71  8767  -0.43  21.592  36.456    5.44    2.60    6.30  338.17  -11.96
 NGC 6401     1.29    7.44    0.22   -1.02   -7.24   0.92   5.08   3.31   1.80   0.03    13.20     6.31     5.95     1.81     0.63   0.52   2.31   3.16   8.79  3447  -0.07  23.627  39.501    6.00    0.47    2.12    3.45    3.98
 NGC 6402     3.98    9.14    0.25   -1.28   -8.80   0.60   5.77   4.47   2.11   0.10    12.00     6.36     5.25    10.83     1.52   0.57   3.54   4.92   9.42  1022  -0.40  35.586  55.624   10.17    0.56    4.28   21.32   14.80
 NGC 6426    14.25   20.71    0.35   -2.15   -6.57   0.36   4.86   4.39   2.02   0.67    13.10     5.41     4.09    14.34     1.42   0.01   5.20   7.88   9.40   133  -0.97  10.255  17.309    2.82    3.67   17.00   28.09   16.23
 NGC 6440     1.28    8.25    0.24   -0.36   -8.93   1.07   5.66   4.56   1.44   0.11    11.20     6.71     6.26     2.94     0.94   1.19   1.22   1.68   8.55   233   0.20  62.415 117.736   15.56    0.21    1.26    7.73    3.80
 NGC 6441     4.48   12.73    0.16   -0.46   -9.86   0.47   6.06   4.10   1.52   0.02    11.00     6.41     4.51    49.35     3.40   2.29   2.13   3.16   9.24 11506  -0.32  74.016 150.384   18.83    1.61    4.70  353.53   -5.01
 NGC 6453     1.83   10.07    0.22   -1.50   -7.81   0.64   5.23   3.57   1.48   0.03    13.20     6.31     5.59     2.46     0.66   0.48   2.76   3.87   9.00  2465  -0.24  27.886  61.757    7.05    0.45    2.52  355.72   -3.87
 NGC 6496     2.70    9.64    0.15   -0.46   -6.74   0.15   4.81   3.81   1.52   0.15    11.40     5.51     4.11     6.52     0.42   0.11   4.53   6.10   9.13   523   0.00  10.950  17.396    3.02    2.62    4.56  348.03  -10.01
 NGC 6517     3.21    9.23    0.56   -1.23   -7.48   1.08   5.34   4.39   2.57   0.29    12.00     6.29     5.30     3.10     0.36   0.23   1.70   2.88   8.87   179  -0.76  37.270  65.796    9.17    0.42    3.40   19.23    6.76
 NGC 6522     1.33    7.29    0.21   -1.34   -7.52   0.48   5.31   4.06   2.32   0.13    13.25     6.42     5.90     2.58     0.80   0.81   2.49   3.15   8.83   551   0.43  31.722  65.540    7.98    0.44    1.30    1.02   -3.93
 NGC 6528     0.91    7.83    0.24   -0.11   -6.43   0.54   4.77   3.73   1.84   0.17    11.00     6.30     5.21     0.62     0.05   2.40   1.68   2.36   8.38   316   0.28  21.609  43.945    5.28    0.43    0.92    1.14   -4.17
 NGC 6535     4.25    6.36    0.12   -1.79   -4.97   0.34   4.30   3.29   2.37   0.23    12.75     5.78     4.51     0.81     0.04   0.19   2.70   3.43   8.44   288   1.21  10.214  17.088    2.54    0.96    4.52   27.18   10.44
 NGC 6539     3.17    8.16    0.39   -0.63   -7.78   1.02   5.33   4.21   1.94   0.15    12.00     5.86     4.36    13.92     0.98   0.19   3.69   5.16   9.26   499  -0.35  22.486  42.680    6.00    2.14    3.42   20.80    6.78
 NGC 6540     2.65    5.91    0.27   -1.35   -6.16   0.66   4.75   3.57   2.25   0.15    12.00     5.86     5.12     2.01     0.39   0.83   2.65   4.49   8.93    24  -0.92  15.147  53.161    3.81    1.06    2.32    3.29   -3.31
 NGC 6541     2.34    7.61    0.10   -1.81   -8.23   0.14   5.39   3.53   1.47   0.02    12.90     5.97     3.93    12.60     0.23   0.92   2.29   3.80   9.11   884  -0.74  36.522  59.460    8.98    1.55    3.58  349.29  -11.19
 NGC 6544     5.94    2.58    0.06   -1.40   -6.56   0.76   4.91   3.75   2.27   0.16    11.10     6.02     5.08     1.86     0.25   0.71   1.54   2.24   8.39   665  -0.14  25.239  55.694    6.29    0.56    5.53    5.84   -2.20
 NGC 6553     3.25    5.33    0.13   -0.18   -7.55   0.63   5.38   3.99   2.69   0.11    13.00     5.87     4.13    18.61     0.82   2.47   2.30   2.89   8.81   708   1.12  33.568  64.831    8.72    2.82    3.62    5.25   -3.03
